Date,Open,High,Low,Close,Volume,Market Cap
"Aug 17, 2017",59.59,69.59,56.55,57.58,"156,181","76,805,100"
"Aug 16, 2017",58.90,60.37,54.68,60.06,"95,445","75,919,200"
"Aug 15, 2017",59.88,61.32,53.19,58.60,"75,427","77,173,100"
"Aug 14, 2017",59.31,61.29,57.25,59.06,"147,886","76,446,900"
"Aug 13, 2017",71.93,75.26,58.46,59.27,"383,782","92,708,400"
"Aug 12, 2017",44.92,79.24,44.60,71.95,"2,581,230","57,895,100"
"Aug 11, 2017",46.07,46.88,44.08,45.49,"101,009","59,381,800"
"Aug 10, 2017",45.45,47.16,44.51,45.83,"63,814","58,573,900"
"Aug 09, 2017",46.23,46.68,42.88,45.15,"61,561","59,588,300"
"Aug 08, 2017",47.02,48.85,42.88,46.25,"201,933","60,604,900"
"Aug 07, 2017",47.27,48.25,45.96,46.98,"89,160","60,920,700"
"Aug 06, 2017",46.32,52.11,44.39,47.37,"302,997","59,700,100"
"Aug 05, 2017",43.92,48.49,43.48,46.31,"131,174","56,602,000"
"Aug 04, 2017",43.61,46.57,41.87,43.94,"242,824","56,209,600"
"Aug 03, 2017",43.85,44.73,41.02,43.62,"144,159","56,511,500"
"Aug 02, 2017",43.75,44.81,41.95,43.65,"126,867","56,388,200"
"Aug 01, 2017",41.85,45.69,39.54,43.85,"232,409","53,939,500"
"Jul 31, 2017",44.94,45.45,40.65,41.81,"162,850","57,927,200"
"Jul 30, 2017",47.35,49.85,43.95,44.90,"260,685","61,033,000"
"Jul 29, 2017",67.27,67.27,44.54,48.09,"896,658","86,696,400"
"Jul 28, 2017",43.00,79.39,42.13,67.59,"4,659,280","55,424,600"
"Jul 27, 2017",43.15,44.85,41.41,43.18,"44,642","55,614,400"
"Jul 26, 2017",45.02,45.70,41.25,42.99,"70,741","58,022,900"
"Jul 25, 2017",54.62,55.27,42.05,44.42,"99,431","70,395,500"
"Jul 24, 2017",55.85,59.11,53.78,54.56,"208,419","71,988,500"
"Jul 23, 2017",59.98,60.35,53.28,58.20,"271,089","77,311,300"
"Jul 22, 2017",57.50,62.27,56.65,59.99,"94,925","74,111,600"
"Jul 21, 2017",56.47,59.06,53.54,57.51,"58,584","72,781,100"
