Date,Open,High,Low,Close,Volume,Market Cap
"Nov 05, 2017",3.92,3.94,3.45,3.68,"13,293,900","160,625,000"
"Nov 04, 2017",4.00,4.38,3.76,4.07,"32,196,500","163,640,000"
"Nov 03, 2017",3.38,4.32,2.88,3.74,"38,509,400","138,093,000"
"Nov 02, 2017",4.07,4.57,3.25,3.40,"37,012,900","166,161,000"
"Nov 01, 2017",5.18,5.79,4.00,4.12,"35,813,400","211,533,000"
"Oct 31, 2017",5.43,5.70,5.11,5.21,"26,259,900","221,629,000"
"Oct 30, 2017",4.40,5.49,4.29,5.45,"26,571,300","179,521,000"
"Oct 29, 2017",5.10,5.10,4.13,4.34,"35,122,600","207,948,000"
"Oct 28, 2017",4.10,5.50,4.03,5.18,"51,550,700","166,794,000"
"Oct 27, 2017",3.68,4.37,3.62,4.07,"21,945,600","149,820,000"
"Oct 26, 2017",3.07,3.78,2.92,3.68,"13,143,100","124,801,000"
"Oct 25, 2017",3.28,3.65,3.03,3.07,"11,107,400","133,312,000"
"Oct 24, 2017",3.01,3.88,2.70,3.28,"23,703,700","122,015,000"
"Oct 23, 2017",3.37,3.61,2.55,3.02,"28,920,900","136,733,000"
"Oct 22, 2017",2.75,4.66,2.69,3.34,"74,432,200","111,648,000"
"Oct 21, 2017",2.00,2.90,2.00,2.79,"18,818,000","81,102,400"
"Oct 20, 2017",2.12,2.16,1.81,2.03,"4,821,000","85,986,100"
"Oct 19, 2017",1.77,2.23,1.76,2.11,"9,962,830","71,457,600"
"Oct 18, 2017",1.66,1.80,1.47,1.77,"2,669,740","66,973,500"
"Oct 17, 2017",1.74,1.79,1.52,1.66,"2,329,770","70,216,000"
"Oct 16, 2017",1.41,1.81,1.40,1.75,"5,512,990","57,076,300"
"Oct 15, 2017",1.34,1.44,1.26,1.40,"1,851,910","53,889,900"
"Oct 14, 2017",1.22,1.40,1.12,1.34,"1,673,440","49,319,900"
"Oct 13, 2017",1.20,1.31,1.14,1.22,"1,809,290","48,500,800"
"Oct 12, 2017",1.28,1.36,1.17,1.21,"2,591,240","51,661,700"
"Oct 11, 2017",1.16,1.36,1.16,1.28,"1,790,820","46,530,100"
"Oct 10, 2017",1.11,1.38,1.01,1.15,"2,098,980","44,410,000"
"Oct 09, 2017",1.15,1.25,0.877993,1.13,"2,279,770","45,990,500"
"Oct 08, 2017",1.30,1.36,1.12,1.14,"1,667,970","52,345,800"
"Oct 07, 2017",1.45,1.49,1.20,1.32,"1,942,220","58,192,300"
"Oct 06, 2017",1.23,1.51,1.23,1.45,"3,158,360","49,462,600"
"Oct 05, 2017",1.15,1.25,1.10,1.23,"1,401,590","46,122,100"
"Oct 04, 2017",1.05,1.20,1.03,1.15,"2,310,410","41,978,700"
"Oct 03, 2017",0.991218,1.07,0.942849,1.05,"624,318","39,621,700"
"Oct 02, 2017",1.05,1.08,0.989179,0.990215,"719,340","42,035,600"
"Oct 01, 2017",1.03,1.06,0.971721,1.06,"457,073","41,075,000"
"Sep 30, 2017",1.01,1.10,1.01,1.03,"743,053","40,417,700"
"Sep 29, 2017",0.934447,1.05,0.880942,1.02,"1,031,200","37,241,400"
"Sep 28, 2017",1.02,1.05,0.918664,0.934590,"875,645","40,621,800"
"Sep 27, 2017",0.982183,1.05,0.961733,1.02,"1,055,670","39,090,200"
"Sep 26, 2017",0.952433,1.10,0.910272,0.975175,"1,555,330","37,877,700"
"Sep 25, 2017",0.981920,1.02,0.929181,0.953256,"1,590,200","39,024,300"
"Sep 24, 2017",1.08,1.10,0.992858,0.992858,"686,642","42,878,400"
"Sep 23, 2017",1.09,1.11,0.996794,1.07,"1,188,070","43,107,600"
"Sep 22, 2017",1.30,1.30,0.937755,1.09,"4,843,270","51,621,300"
"Sep 21, 2017",0.949276,1.47,0.949276,1.30,"20,381,400","37,615,900"
"Sep 20, 2017",0.824111,0.959077,0.806837,0.955091,"1,236,390","32,633,900"
"Sep 19, 2017",0.810271,0.922412,0.784926,0.811240,"1,909,710","32,061,300"
"Sep 18, 2017",0.688659,0.811638,0.678429,0.810876,"854,329","27,229,100"
"Sep 17, 2017",0.633736,0.792006,0.587567,0.688848,"1,481,610","25,038,600"
"Sep 16, 2017",0.687695,0.687695,0.588681,0.629889,"876,655","27,150,000"
"Sep 15, 2017",0.482116,0.707298,0.456760,0.707298,"1,060,880","19,019,400"
"Sep 14, 2017",0.701684,0.712925,0.467558,0.479536,"922,744","27,663,200"
"Sep 13, 2017",0.784210,0.784210,0.646563,0.704781,"1,015,460","30,894,600"
"Sep 12, 2017",0.813576,0.922144,0.765543,0.790181,"1,418,450","32,029,600"
"Sep 11, 2017",0.837214,0.851464,0.748880,0.798137,"958,209","32,935,800"
"Sep 10, 2017",0.859588,0.878154,0.769025,0.839306,"605,134","33,791,600"
"Sep 09, 2017",0.830610,0.924105,0.785190,0.864793,"936,709","32,627,700"
"Sep 08, 2017",0.954019,1.00,0.774007,0.815370,"1,367,100","37,446,900"
"Sep 07, 2017",0.996401,1.00,0.920185,0.955678,"1,499,320","39,083,400"
"Sep 06, 2017",0.876317,0.995956,0.853645,0.991602,"2,096,340","34,346,800"
"Sep 05, 2017",0.739811,0.927580,0.625802,0.866313,"1,883,920","28,972,700"
"Sep 04, 2017",0.876828,0.879365,0.640453,0.734686,"1,317,010","34,316,500"
"Sep 03, 2017",0.868996,0.888122,0.816412,0.876343,"953,190","33,984,100"
"Sep 02, 2017",0.992606,1.00,0.830503,0.865105,"1,434,840","38,788,000"
"Sep 01, 2017",0.980571,1.01,0.882880,0.987379,"2,807,710","38,290,800"
"Aug 31, 2017",0.804951,1.01,0.804951,0.974320,"4,160,890","31,408,800"
"Aug 30, 2017",0.719415,0.869750,0.710806,0.801626,"2,659,050","28,049,700"
"Aug 29, 2017",0.810853,0.833236,0.721919,0.724871,"1,997,400","31,593,400"
"Aug 28, 2017",0.853460,0.870169,0.786014,0.810263,"2,764,890","33,228,400"
"Aug 27, 2017",0.926535,0.961715,0.843411,0.853437,"2,935,040","36,048,000"
"Aug 26, 2017",0.951879,1.08,0.869046,0.921980,"5,871,970","37,009,400"
"Aug 25, 2017",1.12,1.12,0.862078,0.942438,"11,181,200","43,443,700"
"Aug 24, 2017",0.654529,1.17,0.653813,1.11,"20,722,600","25,408,400"
"Aug 23, 2017",0.506441,0.697858,0.501662,0.656939,"3,485,450","19,643,600"
"Aug 22, 2017",0.524720,0.595235,0.484479,0.510094,"1,555,770","20,338,300"
"Aug 21, 2017",0.501841,0.569802,0.497265,0.523164,"1,666,800","19,437,200"
"Aug 20, 2017",0.473231,0.548681,0.460700,0.503577,"1,700,280","18,315,200"
"Aug 19, 2017",0.476764,0.573766,0.464412,0.474116,"2,318,060","18,437,500"
"Aug 18, 2017",0.428249,0.544790,0.414923,0.476882,"2,111,910","16,548,800"
"Aug 17, 2017",0.438372,0.445244,0.408810,0.429101,"794,779","16,927,500"
"Aug 16, 2017",0.436286,0.451604,0.416088,0.435869,"792,106","16,834,300"
"Aug 15, 2017",0.387523,0.458519,0.381589,0.453169,"1,287,640","14,941,200"
"Aug 14, 2017",0.443076,0.453192,0.386848,0.393399,"909,134","17,071,500"
"Aug 13, 2017",0.506256,0.506256,0.440236,0.443242,"1,062,400","19,491,300"
"Aug 12, 2017",0.516336,0.522452,0.479287,0.510936,"1,339,160","19,865,200"
"Aug 11, 2017",0.525278,0.541504,0.497757,0.517614,"1,381,440","20,193,100"
"Aug 10, 2017",0.523575,0.584739,0.511258,0.523189,"1,439,230","20,112,200"
"Aug 09, 2017",0.543642,0.562449,0.523857,0.524493,"567,916","20,868,300"
"Aug 08, 2017",0.536174,0.569836,0.515745,0.543291,"1,037,030","20,566,800"
"Aug 07, 2017",0.533130,0.571066,0.508627,0.538136,"1,288,610","20,434,800"
"Aug 06, 2017",0.548248,0.576909,0.524886,0.530973,"968,170","20,999,100"
"Aug 05, 2017",0.522588,0.558969,0.511759,0.546819,"960,863","20,001,800"
"Aug 04, 2017",0.512709,0.543261,0.507584,0.521429,"745,820","19,607,800"
"Aug 03, 2017",0.512742,0.543571,0.495479,0.517546,"781,880","19,594,500"
"Aug 02, 2017",0.484498,0.531325,0.477671,0.512141,"1,034,590","18,500,900"
"Aug 01, 2017",0.448398,0.512178,0.443731,0.485034,"1,184,690","17,110,300"
"Jul 31, 2017",0.455333,0.475879,0.442728,0.448184,"573,293","17,361,400"
"Jul 30, 2017",0.459091,0.493043,0.454948,0.454948,"559,830","17,491,100"
"Jul 29, 2017",0.470844,0.470844,0.437216,0.459615,"433,441","17,925,800"
"Jul 28, 2017",0.517383,0.526664,0.461934,0.471614,"896,714","19,677,600"
"Jul 27, 2017",0.491388,0.530652,0.462623,0.519631,"963,425","18,222,600"
"Jul 26, 2017",0.480203,0.491167,0.427390,0.490925,"906,058","17,807,800"
"Jul 25, 2017",0.585116,0.604282,0.433983,0.481694,"1,382,930","21,698,400"
"Jul 24, 2017",0.599188,0.650592,0.574542,0.583589,"1,019,270","22,220,300"
"Jul 23, 2017",0.625422,0.651628,0.560781,0.598289,"1,800,440","23,193,100"
"Jul 22, 2017",0.545804,0.652538,0.537208,0.621135,"1,903,820","20,240,600"
"Jul 21, 2017",0.548306,0.599641,0.526735,0.551329,"1,383,940","20,333,300"
"Jul 20, 2017",0.503565,0.591142,0.503565,0.543859,"2,487,150","18,674,200"
"Jul 19, 2017",0.457307,0.549341,0.416575,0.501629,"2,382,990","16,958,700"
"Jul 18, 2017",0.384461,0.462934,0.370768,0.452451,"831,284","14,257,300"
"Jul 17, 2017",0.328149,0.387674,0.326700,0.381752,"535,111","12,169,100"
"Jul 16, 2017",0.332340,0.346027,0.307053,0.327066,"515,271","12,324,500"
"Jul 15, 2017",0.370975,0.373474,0.316714,0.332786,"453,459","13,757,200"
"Jul 14, 2017",0.404729,0.409578,0.355170,0.365534,"481,722","15,009,000"
"Jul 13, 2017",0.437120,0.467605,0.378376,0.399264,"996,086","16,210,100"
